lga,amount,hit_run,total_persons,fatality,injury,males,females,old_driver,young_driver,alcohol_related
ALPINE,57,3,95,0,61,71,22,4,7,3
ARARAT,28,0,58,4,32,38,20,2,9,1
BALLARAT,246,15,610,2,326,285,300,25,107,12
BANYULE,219,9,584,3,277,290,278,26,76,2
BASS COAST,74,3,197,4,104,99,91,5,28,4
BAW BAW,158,3,299,5,193,189,103,13,54,7
BAYSIDE,213,10,482,3,264,260,211,31,44,7
BENALLA,37,0,83,2,57,52,30,4,10,2
BOROONDARA,337,14,795,1,405,394,371,26,103,7
BRIMBANK,493,54,1285,8,620,722,491,21,168,19
BULOKE,13,1,23,0,20,13,10,0,5,0
CAMPASPE,88,0,206,9,121,124,79,7,27,7
CARDINIA,206,9,439,8,261,250,170,9,88,10
CASEY,552,29,1491,5,746,784,661,23,214,27
CENTRAL GOLDFIELDS,25,0,46,2,33,25,21,3,8,1
COLAC OTWAY,67,0,153,3,91,93,58,3,21,2
CORANGAMITE,40,1,86,0,56,51,33,3,12,2
DAREBIN,329,25,823,5,390,443,330,24,110,6
EAST GIPPSLAND,150,3,303,7,202,187,110,14,37,13
FALLS CREEK ALPINE RESORT (UNINC),0,0,0,0,0,0,0,0,0,0
FRANKSTON,281,24,689,3,344,355,306,22,109,12
GANNAWARRA,24,0,45,2,33,28,17,4,8,2
GLEN EIRA,312,26,744,2,383,420,291,23,87,9
GLENELG,49,1,87,1,56,59,25,3,15,2
GOLDEN PLAINS,55,1,111,0,75,66,44,2,21,0
GREATER BENDIGO,0,0,0,0,0,0,0,0,0,0
GREATER DANDENONG,0,0,0,0,0,0,0,0,0,0
GREATER GEELONG,0,0,0,0,0,0,0,0,0,0
GREATER SHEPPARTON,0,0,0,0,0,0,0,0,0,0
HEPBURN,48,1,87,4,60,54,30,2,8,0
HINDMARSH,14,0,35,0,23,18,17,2,3,1
HOBSONS BAY,185,9,434,0,217,267,145,10,51,3
HORSHAM,51,2,116,2,63,58,54,4,19,5
HUME,432,23,1177,10,550,698,422,8,184,13
INDIGO,51,0,104,3,75,59,45,1,19,1
KINGSTON,360,20,955,9,472,522,400,36,124,13
KNOX,261,15,706,0,331,370,306,17,101,14
LAKE MOUNTAIN ALPINE RESORT (UNINC),0,0,0,0,0,0,0,0,0,0
LATROBE,181,7,410,8,235,222,167,11,52,15
LODDON,21,0,36,0,30,26,10,2,6,1
MACEDON RANGES,78,0,176,6,96,114,61,6,30,2
MANNINGHAM,168,6,417,4,205,234,174,19,57,5
MANSFIELD,59,0,101,2,73,71,29,2,7,2
MARIBYRNONG,189,6,474,4,218,262,191,5,52,3
MAROONDAH,228,10,603,4,296,325,264,17,78,8
MELBOURNE,843,55,2113,4,992,1229,757,18,200,18
MELTON,181,7,461,5,241,263,182,5,74,4
MILDURA,99,5,260,1,132,144,102,8,28,6
MITCHELL,131,5,270,5,163,165,99,8,45,6
MOIRA,57,1,135,3,89,70,65,6,20,3
MONASH,380,19,967,6,462,536,388,25,138,15
MOONEE VALLEY,223,11,568,1,281,310,228,14,80,4
MOORABOOL,87,2,191,6,126,111,77,4,28,4
MORELAND,431,44,1054,3,503,592,388,33,129,4
MORNINGTON PENINSULA,320,15,778,6,426,417,330,43,91,18
MOUNT ALEXANDER,52,2,95,2,61,53,38,5,14,2
MOUNT BAW BAW ALPINE RESORT (UNINC),0,0,0,0,0,0,0,0,0,0
MOUNT BULLER ALPINE RESORT (UNINC),0,0,0,0,0,0,0,0,0,0
MOUNT HOTHAM ALPINE RESORT (UNINC),0,0,0,0,0,0,0,0,0,0
MOYNE,46,0,87,2,62,50,34,1,16,3
MURRINDINDI,100,0,166,3,124,112,52,4,15,5
NILLUMBIK,119,7,243,2,142,138,91,2,46,7
NORTHERN GRAMPIANS,49,1,107,3,61,70,35,4,23,2
PORT PHILLIP,269,30,612,1,306,354,212,10,51,4
PYRENEES,27,1,48,0,36,25,22,1,4,0
QUEENSCLIFFE,2,0,3,1,1,2,1,0,0,0
SOUTH GIPPSLAND,83,1,171,1,113,79,91,4,32,5
SOUTHERN GRAMPIANS,45,2,81,4,57,44,36,1,12,5
STONNINGTON,269,19,650,2,302,351,257,19,89,12
STRATHBOGIE,62,1,115,4,76,67,43,4,15,5
SURF COAST,65,2,143,1,91,80,63,1,20,3
SWAN HILL,37,1,70,5,44,48,18,3,11,3
TOWONG,28,0,53,1,39,31,21,0,4,0
WANGARATTA,60,3,177,4,84,89,82,4,11,3
WARRNAMBOOL,61,1,155,0,86,86,69,10,22,4
WELLINGTON,140,5,271,2,170,163,102,6,44,3
WEST WIMMERA,10,0,15,1,10,7,8,0,5,2
WHITEHORSE,271,4,686,3,334,345,320,29,96,7
WHITTLESEA,334,18,874,6,423,492,354,20,122,6
WODONGA,59,2,138,0,77,89,48,5,24,0
WYNDHAM,296,15,775,9,371,446,296,5,112,11
YARRA,293,22,634,1,328,364,234,6,36,3
YARRA RANGES,343,8,735,5,423,399,313,12,129,19
YARRIAMBIACK,12,0,21,0,13,11,10,1,4,1
