lga,amount,hit_run,total_persons,fatality,injury,males,females,old_driver,young_driver,alcohol_related
ALPINE,45,1,124,0,55,69,50,0,5,1
ARARAT,39,2,85,2,54,60,21,2,5,1
BALLARAT,219,16,574,3,291,273,269,19,87,13
BANYULE,166,10,374,3,189,208,160,15,48,0
BASS COAST,64,1,164,0,88,78,84,8,20,1
BAW BAW,147,0,271,1,183,160,103,5,31,1
BAYSIDE,164,7,388,2,196,201,171,17,43,6
BENALLA,40,1,189,4,52,93,86,4,11,1
BOROONDARA,276,6,621,2,304,343,248,20,69,8
BRIMBANK,386,30,1015,3,483,548,417,16,136,9
BULOKE,13,0,22,2,16,12,10,2,3,1
CAMPASPE,76,4,171,2,96,98,64,5,26,4
CARDINIA,208,6,441,7,262,227,203,22,59,8
CASEY,517,30,1299,5,625,636,598,32,220,24
CENTRAL GOLDFIELDS,17,0,32,0,17,16,13,1,5,1
COLAC OTWAY,78,1,174,4,113,107,65,6,24,2
CORANGAMITE,34,1,82,4,53,57,25,1,3,2
DAREBIN,332,15,851,3,415,469,338,16,98,1
EAST GIPPSLAND,147,9,308,9,182,182,120,9,46,6
FALLS CREEK ALPINE RESORT (UNINC),0,0,0,0,0,0,0,0,0,0
FRANKSTON,219,15,569,0,295,291,238,16,73,13
GANNAWARRA,21,1,44,0,32,31,10,2,7,1
GLEN EIRA,240,11,601,0,279,328,249,28,66,5
GLENELG,53,1,100,6,65,67,30,4,9,3
GOLDEN PLAINS,48,0,97,4,64,62,35,1,8,2
GREATER BENDIGO,0,0,0,0,0,0,0,0,0,0
GREATER DANDENONG,0,0,0,0,0,0,0,0,0,0
GREATER GEELONG,0,0,0,0,0,0,0,0,0,0
GREATER SHEPPARTON,0,0,0,0,0,0,0,0,0,0
HEPBURN,36,1,72,0,48,42,28,2,10,2
HINDMARSH,12,0,44,3,22,29,15,1,2,1
HOBSONS BAY,192,15,506,3,237,292,190,10,47,2
HORSHAM,43,0,103,4,59,58,45,6,14,1
HUME,385,18,978,5,504,535,403,11,156,7
INDIGO,44,0,73,1,56,35,35,2,7,2
KINGSTON,297,14,757,2,366,418,318,29,86,6
KNOX,268,8,679,4,351,355,298,18,97,7
LAKE MOUNTAIN ALPINE RESORT (UNINC),0,0,0,0,0,0,0,0,0,0
LATROBE,121,3,280,1,152,150,124,16,45,7
LODDON,25,0,54,2,39,36,18,1,6,1
MACEDON RANGES,107,4,190,6,127,123,57,5,29,5
MANNINGHAM,170,4,415,0,220,200,203,17,49,5
MANSFIELD,50,0,74,1,57,61,12,1,4,2
MARIBYRNONG,179,11,445,4,209,241,178,8,61,1
MAROONDAH,185,10,467,2,221,238,213,9,73,4
MELBOURNE,750,48,1895,4,851,1068,675,19,160,10
MELTON,229,10,548,6,314,301,228,9,73,7
MILDURA,101,4,237,2,124,126,99,8,25,7
MITCHELL,119,1,192,8,132,121,68,3,23,4
MOIRA,57,3,123,5,74,79,42,4,9,4
MONASH,368,21,914,1,454,496,386,27,109,3
MOONEE VALLEY,194,13,467,2,227,247,199,15,61,3
MOORABOOL,92,2,145,2,106,91,48,3,20,5
MORELAND,374,26,934,3,444,501,387,31,107,3
MORNINGTON PENINSULA,250,4,602,7,305,301,281,30,81,8
MOUNT ALEXANDER,48,0,92,2,55,52,39,1,14,0
MOUNT BAW BAW ALPINE RESORT (UNINC),0,0,0,0,0,0,0,0,0,0
MOUNT BULLER ALPINE RESORT (UNINC),0,0,0,0,0,0,0,0,0,0
MOUNT HOTHAM ALPINE RESORT (UNINC),0,0,0,0,0,0,0,0,0,0
MOYNE,46,1,81,2,58,51,28,4,12,3
MURRINDINDI,100,0,151,7,118,113,37,1,12,0
NILLUMBIK,126,4,236,2,146,127,100,6,34,3
NORTHERN GRAMPIANS,32,0,67,1,47,33,30,2,10,0
PORT PHILLIP,276,15,633,1,308,382,220,8,60,5
PYRENEES,28,0,41,0,34,25,16,0,4,1
QUEENSCLIFFE,0,0,0,0,0,0,0,0,0,0
SOUTH GIPPSLAND,78,1,145,3,98,94,49,4,24,4
SOUTHERN GRAMPIANS,40,3,88,1,56,52,34,6,9,1
STONNINGTON,276,16,673,3,316,361,273,20,65,4
STRATHBOGIE,46,0,115,3,64,63,50,2,14,3
SURF COAST,69,1,142,2,80,89,43,5,15,0
SWAN HILL,36,0,89,0,46,50,38,5,6,6
TOWONG,28,0,43,1,34,28,14,1,5,0
WANGARATTA,43,0,87,1,57,51,35,5,10,2
WARRNAMBOOL,48,2,118,1,58,51,63,3,22,1
WELLINGTON,123,2,230,3,150,149,73,6,24,7
WEST WIMMERA,8,1,16,0,11,11,5,0,5,1
WHITEHORSE,229,7,590,3,272,298,277,16,88,3
WHITTLESEA,333,19,901,3,411,493,373,15,133,7
WODONGA,49,1,116,1,59,61,53,6,15,0
WYNDHAM,260,13,622,6,311,357,234,10,69,12
YARRA,276,22,629,0,303,348,242,4,49,3
YARRA RANGES,396,12,848,9,494,489,325,27,124,14
YARRIAMBIACK,13,0,25,0,17,16,8,1,5,0
