lga,amount,hit_run,total_persons,fatality,injury,males,females,old_driver,young_driver,alcohol_related
ALPINE,64,5,105,2,81,68,34,6,10,3
ARARAT,28,0,66,2,42,31,35,2,9,1
BALLARAT,249,10,676,4,332,318,323,28,87,8
BANYULE,197,14,481,0,249,243,219,11,71,7
BASS COAST,72,2,184,3,101,106,71,6,17,2
BAW BAW,189,2,327,4,224,196,122,6,47,5
BAYSIDE,180,6,451,3,221,255,181,22,33,1
BENALLA,37,0,75,0,47,50,24,4,9,0
BOROONDARA,381,12,915,3,425,497,389,33,105,10
BRIMBANK,482,41,1286,5,624,675,520,25,159,14
BULOKE,19,1,25,1,21,13,12,1,4,4
CAMPASPE,95,0,223,8,123,127,88,7,31,4
CARDINIA,209,5,485,8,281,249,222,9,73,6
CASEY,542,25,1519,4,723,790,651,22,222,19
CENTRAL GOLDFIELDS,28,1,51,2,34,30,20,3,8,2
COLAC OTWAY,96,2,214,3,137,119,86,3,27,4
CORANGAMITE,49,1,145,7,64,85,57,5,16,2
DAREBIN,357,24,944,1,446,512,375,25,87,6
EAST GIPPSLAND,148,5,286,6,198,175,100,12,40,7
FALLS CREEK ALPINE RESORT (UNINC),0,0,0,0,0,0,0,0,0,0
FRANKSTON,253,12,584,6,307,308,253,24,79,10
GANNAWARRA,35,1,57,2,37,40,16,0,10,2
GLEN EIRA,297,6,736,1,359,388,323,34,80,6
GLENELG,50,1,99,5,71,62,35,2,15,3
GOLDEN PLAINS,53,1,116,1,83,62,52,3,16,5
GREATER BENDIGO,0,0,0,0,0,0,0,0,0,0
GREATER DANDENONG,0,0,0,0,0,0,0,0,0,0
GREATER GEELONG,0,0,0,0,0,0,0,0,0,0
GREATER SHEPPARTON,0,0,0,0,0,0,0,0,0,0
HEPBURN,42,0,63,3,47,39,24,2,2,4
HINDMARSH,14,0,28,0,21,15,12,0,3,2
HOBSONS BAY,208,16,505,0,255,274,206,15,57,5
HORSHAM,54,1,138,1,85,71,64,6,22,2
HUME,442,33,1158,5,580,628,457,12,172,9
INDIGO,57,0,132,6,66,54,55,2,15,0
KINGSTON,347,11,849,4,433,447,370,36,114,8
KNOX,262,4,682,5,323,345,321,19,113,8
LAKE MOUNTAIN ALPINE RESORT (UNINC),0,0,0,0,0,0,0,0,0,0
LATROBE,158,8,350,5,207,186,150,7,49,10
LODDON,37,0,75,0,51,45,30,4,6,2
MACEDON RANGES,104,1,202,6,128,114,81,4,23,3
MANNINGHAM,155,6,370,1,178,208,153,21,52,5
MANSFIELD,69,1,104,3,78,72,30,0,6,4
MARIBYRNONG,195,6,479,0,223,259,198,14,46,6
MAROONDAH,221,7,542,2,276,275,241,21,83,8
MELBOURNE,842,57,2079,6,953,1255,704,20,174,12
MELTON,205,17,521,5,255,286,217,4,66,5
MILDURA,106,2,229,2,139,128,94,8,23,8
MITCHELL,114,3,207,0,140,126,79,6,39,3
MOIRA,52,2,122,4,77,81,37,7,16,3
MONASH,442,17,1126,4,532,601,484,35,154,11
MOONEE VALLEY,251,19,589,3,296,299,261,15,82,7
MOORABOOL,95,1,194,2,123,129,61,3,23,4
MORELAND,404,22,974,5,465,531,386,26,113,6
MORNINGTON PENINSULA,266,10,661,10,331,352,289,34,81,9
MOUNT ALEXANDER,51,2,98,4,60,63,34,5,10,2
MOUNT BAW BAW ALPINE RESORT (UNINC),0,0,0,0,0,0,0,0,0,0
MOUNT BULLER ALPINE RESORT (UNINC),0,0,0,0,0,0,0,0,0,0
MOUNT HOTHAM ALPINE RESORT (UNINC),0,0,0,0,0,0,0,0,0,0
MOYNE,52,0,113,4,68,57,52,4,22,2
MURRINDINDI,124,1,170,4,137,125,43,1,17,4
NILLUMBIK,133,3,284,2,155,172,107,7,44,4
NORTHERN GRAMPIANS,28,0,49,2,36,26,22,1,7,0
PORT PHILLIP,308,28,721,1,346,391,283,11,65,9
PYRENEES,34,0,53,0,42,33,17,0,10,3
QUEENSCLIFFE,1,0,3,0,2,2,1,0,1,0
SOUTH GIPPSLAND,95,2,170,6,119,91,76,8,32,4
SOUTHERN GRAMPIANS,33,0,55,1,41,29,24,2,5,0
STONNINGTON,331,18,758,2,373,415,304,18,80,5
STRATHBOGIE,36,0,68,4,50,47,21,3,9,1
SURF COAST,97,2,208,5,121,128,74,4,37,4
SWAN HILL,53,1,120,2,70,64,55,10,13,4
TOWONG,37,0,55,0,42,41,12,1,5,3
WANGARATTA,69,2,133,4,93,85,47,3,13,4
WARRNAMBOOL,51,4,121,0,58,62,56,10,9,7
WELLINGTON,142,2,292,5,194,184,104,2,39,9
WEST WIMMERA,12,0,22,0,19,13,9,1,1,0
WHITEHORSE,285,13,745,3,353,380,329,29,92,4
WHITTLESEA,372,26,976,5,507,536,397,13,141,9
WODONGA,58,1,127,2,74,71,51,2,19,1
WYNDHAM,353,20,922,5,445,507,365,9,121,12
YARRA,333,22,730,1,366,405,276,8,64,5
YARRA RANGES,426,14,893,6,528,523,343,23,125,15
YARRIAMBIACK,6,0,10,0,9,6,4,1,2,1
