lga,amount,hit_run,total_persons,fatality,injury,males,females,old_driver,young_driver,alcohol_related
ALPINE,27,0,54,0,37,37,16,4,1,2
ARARAT,15,0,30,1,24,18,12,1,3,1
BALLARAT,117,5,312,5,170,136,167,5,44,8
BANYULE,110,2,282,2,144,135,131,12,41,3
BASS COAST,36,3,89,0,45,53,30,2,14,0
BAW BAW,85,2,194,9,105,111,77,0,26,1
BAYSIDE,103,5,251,1,133,143,97,15,32,5
BENALLA,22,0,38,1,27,27,11,0,8,3
BOROONDARA,217,11,488,0,256,245,225,14,68,7
BRIMBANK,183,12,483,0,251,276,176,8,70,8
BULOKE,12,0,19,1,13,15,4,1,1,0
CAMPASPE,26,0,67,1,39,31,36,2,8,3
CARDINIA,93,5,205,3,132,131,71,4,36,5
CASEY,273,11,763,9,379,403,341,10,118,12
CENTRAL GOLDFIELDS,16,1,35,4,24,21,14,1,5,2
COLAC OTWAY,39,0,138,2,64,75,61,2,12,3
CORANGAMITE,21,0,37,1,29,22,15,1,8,0
DAREBIN,195,13,496,2,245,268,204,9,64,7
EAST GIPPSLAND,51,0,94,2,74,71,23,1,10,5
FALLS CREEK ALPINE RESORT (UNINC),0,0,0,0,0,0,0,0,0,0
FRANKSTON,146,5,356,3,182,180,161,10,55,12
GANNAWARRA,11,0,26,3,11,17,9,1,5,1
GLEN EIRA,156,4,402,1,184,233,157,16,55,5
GLENELG,27,0,47,0,31,25,21,3,6,1
GOLDEN PLAINS,18,0,26,0,23,17,9,0,5,2
GREATER BENDIGO,0,0,0,0,0,0,0,0,0,0
GREATER DANDENONG,0,0,0,0,0,0,0,0,0,0
GREATER GEELONG,0,0,0,0,0,0,0,0,0,0
GREATER SHEPPARTON,0,0,0,0,0,0,0,0,0,0
HEPBURN,22,0,46,0,28,20,26,2,7,1
HINDMARSH,3,0,3,0,3,3,0,0,0,0
HOBSONS BAY,78,4,204,1,87,111,81,3,24,2
HORSHAM,28,1,60,1,42,37,23,2,8,2
HUME,175,9,503,1,238,267,207,4,85,2
INDIGO,11,1,21,2,17,13,8,0,4,0
KINGSTON,155,8,399,0,198,227,158,13,47,14
KNOX,143,9,377,1,181,207,154,15,65,5
LAKE MOUNTAIN ALPINE RESORT (UNINC),0,0,0,0,0,0,0,0,0,0
LATROBE,79,3,214,2,131,116,94,7,34,3
LODDON,19,0,39,2,32,22,17,2,4,1
MACEDON RANGES,55,1,122,1,85,71,47,0,23,2
MANNINGHAM,73,3,171,0,96,85,77,4,32,4
MANSFIELD,20,0,34,0,27,26,8,0,5,1
MARIBYRNONG,67,7,172,1,78,92,67,0,19,3
MAROONDAH,111,8,260,1,128,139,108,5,51,6
MELBOURNE,421,38,1041,1,483,605,354,7,105,6
MELTON,104,6,250,2,130,159,78,3,34,1
MILDURA,57,0,138,3,88,76,57,5,16,6
MITCHELL,66,4,127,3,82,83,41,1,17,8
MOIRA,28,0,51,0,33,31,20,0,12,4
MONASH,188,8,514,1,230,283,207,8,62,4
MOONEE VALLEY,93,7,248,2,117,144,95,10,33,4
MOORABOOL,42,2,118,3,64,66,47,1,12,2
MORELAND,182,14,440,3,224,266,149,14,55,2
MORNINGTON PENINSULA,159,14,366,4,209,202,154,20,68,11
MOUNT ALEXANDER,29,1,71,1,45,45,26,4,7,2
MOUNT BAW BAW ALPINE RESORT (UNINC),0,0,0,0,0,0,0,0,0,0
MOUNT BULLER ALPINE RESORT (UNINC),0,0,0,0,0,0,0,0,0,0
MOUNT HOTHAM ALPINE RESORT (UNINC),0,0,0,0,0,0,0,0,0,0
MOYNE,26,0,60,0,39,35,24,1,8,3
MURRINDINDI,42,1,72,1,54,55,17,2,14,2
NILLUMBIK,45,0,107,1,61,61,45,1,22,2
NORTHERN GRAMPIANS,14,0,34,0,23,20,14,2,6,0
PORT PHILLIP,140,13,321,1,163,186,118,4,35,3
PYRENEES,14,0,34,3,19,21,12,1,5,3
QUEENSCLIFFE,2,0,4,0,2,2,2,1,0,1
SOUTH GIPPSLAND,44,1,106,1,60,62,44,3,16,2
SOUTHERN GRAMPIANS,19,0,45,2,28,25,20,4,6,0
STONNINGTON,158,9,394,0,187,225,153,5,58,4
STRATHBOGIE,26,0,58,2,33,37,19,3,4,0
SURF COAST,38,0,89,2,49,49,40,3,9,2
SWAN HILL,15,1,33,0,20,16,16,0,6,0
TOWONG,12,0,24,1,17,20,4,0,1,0
WANGARATTA,42,0,83,4,44,49,33,2,11,3
WARRNAMBOOL,37,0,93,2,42,48,44,4,13,4
WELLINGTON,52,1,136,3,78,92,40,3,15,6
WEST WIMMERA,9,0,16,1,13,11,5,1,2,0
WHITEHORSE,158,6,428,3,193,217,199,12,58,4
WHITTLESEA,142,7,354,3,167,202,144,9,51,6
WODONGA,33,1,86,1,43,40,45,2,16,0
WYNDHAM,130,7,358,0,177,204,139,3,67,8
YARRA,167,12,381,5,182,229,123,2,32,3
YARRA RANGES,197,6,412,4,257,241,160,6,65,7
YARRIAMBIACK,6,0,13,0,10,6,7,2,1,0
